WIND,SOLAR,HYDRO
0.98875,0,0.98875
0.98875,0,0.98875
0.99075,0,0.99075
0.99125,0,0.99125
0.992625,0.000727273,0.992625
0.99025,0.089818182,0.99025
0.969625,0.217727273,0.969625
0.939375,0.241,0.939375
0.933375,0.265272727,0.933375
0.93925,0.289090909,0.93925
0.950375,0.278181818,0.950375
0.958,0.223363636,0.958
0.960125,0.133636364,0.960125
0.956625,0.019727273,0.956625
0.956375,0,0.956375
0.950375,0,0.950375
0.951125,0,0.951125
0.9385,0,0.9385
0.901875,0,0.901875
0.85225,0,0.85225
0.794375,0,0.794375
0.726,0,0.726
0.704875,0,0.704875
0.689,0,0.689
0.67925,0,0.67925
0.669,0,0.669
0.6145,0,0.6145
0.554875,0,0.554875
0.51725,0.024,0.51725
0.4855,0.210818182,0.4855
0.39825,0.419454545,0.39825
0.318,0.490727273,0.318
0.275,0.506454545,0.275
0.25,0.494727273,0.25
0.22975,0.433363636,0.22975
0.22625,0.333909091,0.22625
0.265125,0.180363636,0.265125
0.390875,0.026272727,0.390875
0.47925,0,0.47925
0.55175,0,0.55175
0.573375,0,0.573375
0.6385,0,0.6385
0.663125,0,0.663125
0.69475,0,0.69475
0.709875,0,0.709875
0.72025,0,0.72025
0.735625,0,0.735625
0.750625,0,0.750625
0.763,0,0.763
0.78275,0,0.78275
0.817,0,0.817
0.825875,0,0.825875
0.83375,0,0.83375
0.829375,0.100181818,0.829375
0.75425,0.276181818,0.75425
0.714375,0.294636364,0.714375
0.708625,0.272,0.708625
0.721625,0.229454545,0.721625
0.745625,0.177454545,0.745625
0.78825,0.140272727,0.78825
0.850875,0.084818182,0.850875
0.89625,0.010363636,0.89625
0.9325,0,0.9325
0.936125,0,0.936125
0.94875,0,0.94875
0.935125,0,0.935125
0.928625,0,0.928625
0.935625,0,0.935625
0.923875,0,0.923875
0.903125,0,0.903125
0.83825,0,0.83825
0.768125,0,0.768125
0.703875,0,0.703875
0.629625,0,0.629625
0.6235,0,0.6235
0.6385,0,0.6385
0.565125,0,0.565125
0.50725,0.036727273,0.50725
0.4725,0.121363636,0.4725
0.5045,0.108363636,0.5045
0.541,0.099909091,0.541
0.611625,0.105909091,0.611625
0.713375,0.109363636,0.713375
0.74075,0.122636364,0.74075
0.821125,0.084181818,0.821125
0.923375,0.018545455,0.923375
0.983625,0,0.983625
0.981375,0,0.981375
0.9735,0,0.9735
0.96575,0,0.96575
0.96025,0,0.96025
0.942,0,0.942
0.905125,0,0.905125
0.871,0,0.871
0.826,0,0.826
0.77675,0,0.77675
0.73875,0,0.73875
0.701125,0,0.701125
0.696875,0,0.696875
0.740125,0,0.740125
0.77275,0.017818182,0.77275
0.796625,0.149090909,0.796625
0.801,0.309545455,0.801
0.8275,0.359090909,0.8275
0.882375,0.371909091,0.882375
0.9345,0.383909091,0.9345
0.969125,0.343,0.969125
0.981125,0.264181818,0.981125
0.985625,0.144363636,0.985625
0.987375,0.026090909,0.987375
0.980125,0,0.980125
0.969,0,0.969
0.948375,0,0.948375
0.919,0,0.919
0.858,0,0.858
0.729375,0,0.729375
0.621125,0,0.621125
0.57,0,0.57
0.564875,0,0.564875
0.5685,0,0.5685
0.559875,0,0.559875
0.538,0,0.538
0.490375,0,0.490375
0.425875,0,0.425875
0.401125,0.019818182,0.401125
0.4085,0.168090909,0.4085
0.350875,0.341090909,0.350875
0.282875,0.406181818,0.282875
0.24675,0.406727273,0.24675
0.21975,0.357636364,0.21975
0.194125,0.295636364,0.194125
0.15675,0.224818182,0.15675
0.11125,0.135,0.11125
0.086375,0.024090909,0.086375
0.108125,0,0.108125
0.152875,0,0.152875
0.225875,0,0.225875
0.328375,0,0.328375
0.42575,0,0.42575
0.5105,0,0.5105
0.548375,0,0.548375
0.59475,0,0.59475
0.639875,0,0.639875
0.677375,0,0.677375
0.724625,0,0.724625
0.7585,0,0.7585
0.788125,0,0.788125
0.833125,0,0.833125
0.883,0.018818182,0.883
0.91725,0.156545455,0.91725
0.91125,0.318454545,0.91125
0.905875,0.356363636,0.905875
0.91,0.345090909,0.91
0.91325,0.313545455,0.91325
0.9035,0.258909091,0.9035
0.889375,0.244909091,0.889375
0.88975,0.133636364,0.88975
0.849625,0.024272727,0.849625
0.828875,0,0.828875
0.833125,0,0.833125
0.84,0,0.84
0.8075,0,0.8075
0.732,0,0.732
0.662125,0,0.662125
0.56825,0,0.56825
0.50175,0,0.50175
0.449125,0,0.449125
0.41075,0,0.41075
0.37425,0,0.37425
0.345625,0,0.345625
0.378375,0,0.378375
0.401625,0,0.401625
0.41625,0.023818182,0.41625
0.411625,0.205909091,0.411625
0.376125,0.406818182,0.376125
0.302125,0.460181818,0.302125
0.263875,0.489636364,0.263875
0.26,0.482363636,0.26
0.23775,0.461545455,0.23775
0.276,0.346818182,0.276
0.33675,0.211636364,0.33675
0.3835,0.039272727,0.3835
0.466,0,0.466
0.534375,0,0.534375
0.59125,0,0.59125
0.607625,0,0.607625
0.609125,0,0.609125
0.61575,0,0.61575
0.6245,0,0.6245
0.63675,0,0.63675
0.65725,0,0.65725
0.6605,0,0.6605
0.6865,0,0.6865
0.711375,0,0.711375
0.73075,0,0.73075
0.74025,0,0.74025
0.753375,0.003090909,0.753375
0.74575,0.082454545,0.74575
0.700125,0.209,0.700125
0.69425,0.234363636,0.69425
0.656875,0.228272727,0.656875
0.61625,0.226636364,0.61625
0.57825,0.199909091,0.57825
0.534125,0.151181818,0.534125
0.51,0.093818182,0.51
0.537875,0.014090909,0.537875
0.5805,0,0.5805
